,0,1
472,116,089
473,137,076
474,082,001
475,077,158
476,115,108
477,005,158
478,179,125
479,061,063
480,057,150
481,042,031
482,032,091
483,132,124
484,017,189
485,182,153
486,128,163
487,019,110
488,023,068
489,044,070
490,122,036
491,159,110
492,019,057
493,152,113
494,131,058
495,152,144
496,088,090
497,004,054
498,129,191
499,006,149
500,175,196
501,124,034
502,184,009
503,069,132
504,188,106
505,185,010
506,008,004
507,058,134
508,122,120
509,028,088
510,179,032
511,191,096
512,120,104
513,024,001
514,124,046
515,038,050
516,134,033
517,010,106
518,015,103
519,026,181
520,101,183
521,099,017
522,054,183
523,183,067
524,179,152
525,188,023
526,161,108
527,080,108
528,054,009
529,082,189
530,195,161
531,096,159
532,185,057
533,170,084
534,092,165
535,051,084
536,017,022
537,165,195
538,141,048
539,068,023
540,199,013
541,096,048
542,182,096
543,138,099
544,096,194
545,086,097
546,172,063
547,093,132
548,092,179
549,041,175
550,138,065
551,085,199
552,144,080
553,098,080
554,092,014
555,152,057
556,186,173
557,020,097
558,073,097
559,045,117
560,047,183
561,098,103
562,153,072
563,158,082
564,083,051
565,173,047
566,064,129
567,060,158
568,125,021
569,178,044
570,059,149
571,187,011
572,015,122
573,055,013
574,052,119
575,081,104
576,019,056
577,141,024
578,069,105
579,067,155
580,111,155
581,116,095
582,122,172
583,121,179
584,032,017
585,004,168
586,077,012
587,093,196
588,147,169
589,081,092
590,102,191
591,115,150
592,002,010
593,177,067
594,107,142
595,159,031
596,051,073
597,012,033
598,048,156
599,103,097
600,022,106
601,051,138
602,009,068
603,018,107
604,106,029
605,035,173
606,190,065
607,034,015
608,199,198
609,033,057
610,178,013
611,125,033
612,073,061
613,198,176
614,024,063
615,094,096
616,000,015
617,076,115
618,182,086
619,181,017
620,199,073
621,062,153
622,028,160
623,027,089
624,032,166
625,065,010
626,063,168
627,060,087
628,108,070
629,082,038
630,118,141
631,035,170
632,029,113
633,056,085
634,045,175
635,089,146
636,198,182
637,117,087
638,085,146
639,049,157
640,053,054
641,090,182
642,020,110
643,081,120
644,104,054
645,137,136
646,107,119
647,069,101
648,009,152
649,120,053
650,021,118
651,148,045
652,103,084
653,183,078
654,189,156
655,091,164
656,162,143
657,149,108
658,111,147
659,106,105
660,159,047
661,084,103
662,022,096
663,031,067
664,059,001
665,018,073
666,195,066
667,140,160
668,058,081
669,133,050
670,015,151
671,013,196
672,106,054
673,162,105
674,025,065
675,155,146
676,103,159
677,187,157
678,051,028
679,006,064
680,158,194
681,092,099
682,026,005
683,175,185
684,114,067
685,080,065
686,018,142
687,169,111
688,193,034
689,128,069
690,088,057
691,084,038
692,000,080
693,132,171
694,040,136
695,061,064
696,056,134
697,150,192
698,175,071
699,171,149
700,095,051
701,020,017
702,193,057
703,049,010
704,029,014
705,060,071
706,079,166
707,137,122
708,175,022
709,110,104
710,147,031
711,044,184
712,157,114
713,090,185
714,091,110
715,141,133
716,151,184
717,057,114
718,081,134
719,041,009
720,096,173
721,069,143
722,110,197
723,161,128
724,099,129
725,181,186
726,072,039
727,192,038
728,171,012
729,106,019
730,095,087
731,065,019
732,158,151
733,106,130
734,134,010
735,177,007
736,141,101
737,057,016
738,108,109
739,060,169
740,032,034
741,185,048
742,087,020
743,123,137
744,053,182
745,046,131
746,119,150
747,120,162
748,017,122
749,065,101
750,160,157
751,173,195
752,018,024
753,083,158
754,177,018
755,162,024
756,162,025
757,093,141
758,149,084
759,052,147
760,070,197
761,176,060
762,008,101
763,077,010
764,042,058
765,153,090
766,070,060
767,061,125
768,006,111
769,031,082
770,141,032
771,050,134
772,038,017
773,080,146
774,146,021
775,068,132
776,015,020
777,041,179
778,127,146
779,198,181
780,049,197
781,073,079
782,187,052
783,004,164
784,141,156
785,132,137
786,171,102
787,091,003
788,014,167
789,152,194
790,056,184
791,166,098
792,173,017
793,033,131
794,068,078
795,077,095
796,017,023
797,121,108
798,048,196
799,027,037
800,167,113
801,115,133
802,053,140
803,119,034
804,110,027
805,032,075
806,173,150
807,027,017
808,058,125
809,050,133
810,104,124
811,018,132
812,146,149
813,119,010
814,105,110
815,116,014
816,155,116
817,164,184
818,185,066
819,121,063
820,108,008
821,091,193
822,121,003
823,007,087
824,173,176
825,071,134
826,075,061
827,096,057
828,047,107
829,172,166
830,026,002
831,188,161
832,037,114
833,122,038
834,130,157
835,136,187
836,188,153
837,038,026
838,107,178
839,166,001
840,002,121
841,036,058
842,185,088
843,027,106
844,015,010
845,194,066
846,136,177
847,176,147
848,122,193
849,054,121
850,011,008
851,084,117
852,185,019
853,070,114
854,067,021
855,039,024
856,097,108
857,160,066
858,049,102
859,062,113
860,063,026
861,060,079
862,096,143
863,105,177
864,024,152
865,173,177
866,116,170
867,162,014
868,196,129
869,012,137
870,099,026
871,113,157
872,173,045
873,175,049
874,019,074
875,069,185
876,169,006
877,016,083
878,014,183
879,062,184
880,058,118
881,115,042
882,116,122
883,182,172
884,034,059
885,172,018
886,160,033
887,057,081
888,057,171
889,078,110
890,183,069
891,144,013
892,103,123
893,123,149
894,091,187
895,042,045
896,015,142
897,011,163
898,029,009
899,156,032
900,131,182
901,025,111
902,086,081
903,027,031
904,039,093
905,073,044
906,181,045
907,060,167
908,010,129
909,105,068
910,065,022
911,172,064
912,130,089
913,147,106
914,191,063
915,014,075
916,152,025
917,090,099
918,191,089
919,010,085
920,019,091
921,051,042
922,151,133
923,149,052
924,072,101
925,107,025
926,040,133
927,090,021
928,198,051
929,091,162
930,034,104
931,170,053
932,010,174
933,168,130
934,067,013
935,029,038
936,073,140
937,155,118
938,082,156
939,188,172
940,115,036
941,197,157
942,005,056
943,044,071
944,113,160
945,190,079
946,097,038
947,059,056
948,119,058
949,118,197
950,005,185
951,186,176
952,119,199
953,044,028
954,132,101
955,143,050
956,064,057
957,054,043
958,156,143
959,094,123
960,021,148
961,020,121
962,012,087
963,083,037
964,128,002
965,117,155
966,177,170
967,165,074
968,057,124
969,142,151
970,163,012
971,002,007
972,004,192
973,064,085
974,155,152
975,191,005
976,131,039
977,113,053
978,190,018
979,055,068
980,054,099
981,025,186
982,019,061
983,012,072
984,074,071
985,173,055
986,132,034
987,170,013
988,119,123
989,097,079
990,195,196
991,065,163
992,057,035
993,022,005
994,184,196
995,183,118
996,009,070
997,062,190
998,199,018
999,081,034
1000,077,013
1001,097,144
1002,028,111
1003,101,134
1004,120,086
1005,169,089
1006,199,048
1007,194,150
1008,199,017
1009,155,103
1010,085,095
1011,198,009
1012,006,028
1013,072,162
1014,130,033
1015,143,036
1016,061,124
1017,142,094
1018,055,158
1019,176,162
1020,113,072
1021,052,169
1022,183,092
1023,149,144
1024,132,165
1025,177,134
1026,041,183
1027,116,140
1028,033,042
1029,021,049
1030,120,156
1031,058,165
1032,047,165
1033,064,175
1034,119,159
1035,137,170
1036,067,038
1037,018,079
1038,144,027
1039,194,178
1040,104,150
1041,035,118
1042,039,196
1043,052,017
1044,119,107
1045,054,108
1046,037,023
1047,150,185
1048,132,195
1049,122,125
1050,067,000
1051,072,197
1052,064,110
1053,058,012
1054,156,009
1055,021,075
1056,164,023
1057,090,132
1058,072,080
1059,076,025
1060,062,105
1061,102,123
1062,061,025
1063,108,074
1064,148,198
1065,097,179
1066,118,056
1067,084,052
1068,121,144
1069,128,167
1070,045,134
1071,089,198
1072,008,082
1073,018,001
1074,034,033
1075,059,125
1076,172,055
1077,063,018
1078,105,150
1079,134,016
1080,043,163
1081,032,198
1082,090,172
1083,038,075
1084,124,197
1085,182,006
1086,166,052
1087,020,105
1088,189,023
1089,123,168
1090,015,002
1091,068,103
1092,190,083
1093,019,130
1094,111,151
1095,039,158
1096,046,155
1097,069,052
1098,189,162
1099,064,123
1100,134,131
1101,051,077
1102,152,070
1103,048,036
1104,067,077
1105,004,149
1106,155,110
1107,010,045
1108,022,044
1109,187,003
1110,130,039
1111,104,026
1112,050,009
1113,133,059
1114,191,094
1115,116,077
1116,187,170
1117,036,155
1118,172,014
1119,076,114
1120,077,146
1121,080,199
1122,024,004
1123,083,098
1124,129,120
1125,096,075
1126,191,036
1127,124,105
1128,131,044
1129,049,062
1130,076,172
1131,009,022
1132,053,046
1133,193,093
1134,105,194
1135,034,008
1136,146,055
1137,151,105
1138,171,074
1139,040,132
1140,016,041
1141,053,047
1142,074,039
1143,140,008
1144,056,173
1145,104,066
1146,194,005
1147,192,015
1148,070,062
1149,188,032
1150,055,194
1151,171,002
1152,092,116
1153,118,188
1154,038,064
1155,067,076
1156,153,054
1157,017,140
1158,157,060
1159,184,186
1160,173,035
1161,033,104
1162,191,027
1163,118,010
1164,045,075
1165,099,035
1166,193,115
1167,121,090
1168,148,105
1169,033,006
1170,186,092
1171,085,082
1172,104,018
1173,199,173
1174,178,176
1175,026,055
1176,138,042
1177,020,005
1178,181,081
1179,127,007
1180,114,082
1181,060,039
1182,186,084
1183,162,027
1184,106,006
1185,125,027
1186,086,101
1187,096,196
1188,094,049
1189,029,131
1190,195,061
1191,008,031
1192,079,073
1193,149,005
1194,014,034
1195,196,050
1196,155,045
1197,092,122
1198,117,062
1199,199,044
1200,198,103
1201,130,031
1202,009,178
1203,085,013
1204,187,054
1205,010,194
1206,044,131
1207,080,149
1208,034,051
1209,179,122
1210,125,046
1211,140,000
1212,071,138
1213,123,049
1214,000,077
1215,037,118
1216,094,071
1217,143,075
1218,144,067
1219,192,014
1220,043,120
1221,015,051
1222,070,113
1223,196,131
1224,035,162
1225,022,113
1226,009,043
1227,063,131
1228,072,151
1229,150,077
1230,014,056
1231,015,089
1232,118,142
1233,149,192
1234,079,168
1235,046,028
1236,103,101
1237,104,049
1238,004,108
1239,105,069
1240,060,102
1241,071,066
1242,153,022
1243,133,085
1244,146,087
1245,146,161
1246,163,001
1247,038,032
1248,153,010
1249,016,170
1250,117,098
1251,117,179
1252,072,093
1253,133,183
1254,057,179
1255,022,177
1256,092,010
1257,116,022
1258,042,055
1259,120,187
1260,130,119
1261,061,071
1262,050,063
1263,041,137
1264,142,090
1265,061,177
1266,159,061
1267,125,032
1268,129,114
1269,118,006
1270,039,019
1271,091,042
1272,172,182
1273,096,102
1274,163,187
1275,003,165
1276,091,167
1277,018,002
1278,095,017
1279,020,066
1280,106,097
1281,044,156
1282,031,109
1283,040,191
1284,114,077
1285,173,132
1286,032,175
1287,196,085
1288,097,032
1289,065,107
1290,066,012
1291,072,016
1292,089,032
1293,021,185
1294,022,017
1295,066,082
1296,064,052
1297,143,097
1298,022,108
1299,134,097
1300,050,091
1301,117,081
1302,118,054
1303,002,049
1304,028,074
1305,084,108
1306,070,040
1307,075,007
1308,172,005
1309,082,083
1310,001,015
1311,176,156
1312,194,073
1313,086,176
1314,125,028
1315,082,076
1316,093,047
1317,122,133
1318,198,115
1319,018,013
1320,136,191
1321,142,149
1322,181,165
1323,008,102
1324,134,034
1325,053,059
1326,183,187
1327,034,023
1328,155,177
1329,167,073
1330,186,011
1331,050,039
1332,091,064
1333,190,041
1334,029,124
1335,056,080
1336,056,108
1337,091,149
1338,188,037
1339,016,134
1340,198,102
1341,060,182
1342,057,199
1343,193,072
1344,158,055
1345,054,141
1346,148,026
1347,056,164
1348,039,025
1349,012,093
1350,081,038
1351,134,196
1352,127,179
1353,197,107
1354,024,041
1355,021,059
1356,084,076
1357,177,102
1358,163,020
1359,196,149
1360,093,184
1361,090,131
1362,015,144
1363,032,111
1364,189,049
1365,042,156
1366,091,052
1367,149,000
1368,109,177
1369,143,089
1370,077,093
1371,023,060
1372,193,055
1373,017,198
1374,146,050
1375,118,175
1376,165,011
1377,066,121
1378,076,089
1379,123,097
1380,196,188
1381,063,148
1382,018,036
1383,115,070
1384,038,131
1385,179,002
1386,092,098
1387,138,108
1388,024,164
1389,082,012
1390,040,192
1391,067,119
1392,125,047
1393,169,103
1394,072,184
1395,015,118
1396,044,012
1397,182,048
1398,071,090
1399,097,033
1400,120,176
1401,038,168
1402,199,124
1403,107,179
1404,056,039
1405,028,190
1406,095,099
1407,188,038
1408,052,045
1409,090,000
1410,170,122
1411,141,054
1412,107,066
1413,049,153
1414,196,014
1415,169,037
1416,047,193
1417,106,156
1418,037,067
1419,052,096
1420,012,058
1421,172,059
1422,136,133
1423,195,028
1424,045,091
1425,050,129
1426,177,057
1427,076,019
1428,186,110
1429,123,045
1430,097,114
1431,045,110
1432,021,103
1433,043,106
1434,024,084
1435,033,114
1436,185,029
1437,110,058
1438,108,089
1439,042,020
1440,172,060
1441,130,101
1442,085,164
1443,071,053
1444,040,054
1445,149,089
1446,009,105
1447,148,142
1448,170,027
1449,027,124
1450,078,045
1451,047,089
1452,141,151
1453,012,162
1454,049,192
1455,195,197
1456,044,161
1457,006,071
1458,010,149
1459,148,082
1460,189,091
1461,132,055
1462,129,064
1463,163,174
1464,121,034
1465,008,109
1466,130,059
1467,192,133
1468,195,096
1469,002,062
1470,104,179
1471,070,169
1472,174,185
1473,160,109
1474,103,016
1475,046,197
1476,080,008
1477,121,137
1478,003,072
1479,071,035
1480,070,076
1481,092,027
1482,037,106
1483,105,199
1484,069,160
1485,087,009
1486,093,048
1487,127,111
1488,001,007
1489,033,068
1490,165,169
1491,078,199
1492,169,199
1493,003,178
1494,073,050
1495,043,094
1496,156,062
1497,101,111
1498,181,179
1499,061,120
1500,059,010
1501,177,046
1502,161,033
1503,106,042
1504,130,069
1505,181,132
1506,122,130
1507,150,022
1508,059,175
1509,109,133
1510,181,015
1511,025,002
1512,138,053
1513,190,104
1514,094,108
1515,088,124
1516,011,053
1517,179,007
1518,000,076
1519,115,189
1520,081,114
1521,048,195
1522,182,118
1523,103,062
1524,054,024
1525,037,076
1526,093,198
1527,124,115
1528,033,022
1529,130,120
1530,109,093
1531,106,087
1532,131,066
1533,055,048
1534,144,150
1535,186,108
1536,123,075
1537,062,163
1538,064,167
1539,040,156
1540,034,105
1541,000,003
1542,066,157
1543,130,136
1544,078,109
1545,107,081
1546,156,124
1547,079,190
1548,103,043
1549,073,068
1550,137,174
1551,183,002
1552,069,163
1553,071,143
1554,129,049
1555,007,037
1556,004,072
1557,146,065
1558,173,051
1559,101,024
1560,073,119
1561,074,048
1562,010,109
1563,151,006
1564,155,015
1565,144,191
1566,000,071
1567,016,129
1568,113,116
1569,104,014
1570,096,158
1571,190,005
1572,144,157
1573,152,042
1574,172,047
1575,141,118
1576,040,199
1577,041,004
1578,134,116
1579,015,053
1580,144,078
1581,057,117
1582,010,047
1583,049,194
1584,161,092
1585,158,085
1586,118,018
1587,020,178
1588,014,085
1589,019,116
1590,181,016
1591,173,075
1592,003,191
1593,051,070
1594,067,195
1595,053,066
1596,085,084
1597,080,170
1598,149,169
1599,182,055
1600,192,039
1601,025,124
1602,039,013
1603,017,010
1604,062,061
1605,084,048
1606,039,079
1607,177,053
1608,182,036
1609,178,015
1610,179,144
1611,080,134
1612,189,196
1613,164,134
1614,117,171
1615,181,146
1616,136,128
1617,087,181
1618,195,120
1619,001,106
1620,086,038
1621,196,110
1622,110,000
1623,120,081
1624,183,027
1625,051,190
1626,114,003
1627,056,140
1628,111,044
1629,190,094
1630,153,043
1631,120,068
1632,150,087
1633,124,198
1634,103,090
1635,142,095
1636,001,102
1637,063,144
1638,006,063
1639,013,069
1640,027,003
1641,157,162
1642,085,166
1643,196,192
1644,092,048
1645,037,053
1646,025,085
1647,068,048
1648,117,113
1649,113,175
1650,178,108
1651,179,114
1652,027,133
1653,058,094
1654,018,146
1655,040,157
1656,009,181
1657,031,069
1658,019,136
1659,161,012
1660,068,119
1661,072,083
1662,193,003
1663,022,062
1664,093,096
1665,074,152
1666,055,060
1667,021,173
1668,111,117
1669,102,051
1670,027,080
1671,129,079
1672,121,164
1673,091,105
1674,114,140
1675,101,131
1676,119,008
1677,058,167
1678,195,085
1679,008,060
1680,056,109
1681,141,146
1682,050,040
1683,169,046
1684,169,140
1685,099,001
1686,005,101
1687,033,084
1688,150,133
1689,122,081
1690,016,034
1691,116,060
1692,058,101
1693,114,130
1694,026,118
1695,131,103
1696,029,022
1697,106,123
1698,007,040
1699,026,111
1700,041,011
1701,020,041
1702,155,019
1703,114,192
1704,171,067
1705,114,013
1706,110,070
1707,189,121
1708,049,178
1709,184,040
1710,068,044
1711,198,081
1712,067,062
1713,026,152
1714,178,105
1715,143,190
1716,004,142
1717,029,192
1718,134,075
1719,150,184
1720,010,195
1721,128,106
1722,196,081
1723,007,147
1724,172,015
1725,147,184
1726,076,125
1727,106,172
1728,105,005
1729,129,001
1730,183,072
1731,014,094
1732,051,096
1733,156,142
1734,128,077
1735,188,052
1736,105,073
1737,088,017
1738,171,157
1739,078,124
1740,198,107
1741,033,051
1742,157,006
1743,023,082
1744,122,127
1745,046,003
1746,142,068
1747,188,098
1748,062,132
1749,141,090
1750,106,121
1751,110,039
1752,197,083
1753,038,008
1754,168,017
1755,148,051
1756,089,021
1757,083,119
1758,029,186
1759,039,132
1760,071,136
1761,184,120
1762,081,080
1763,007,109
1764,009,185
1765,015,001
1766,153,064
1767,082,002
1768,021,073
1769,014,010
1770,140,022
1771,095,181
1772,148,187
1773,190,031
1774,056,004
1775,174,066
1776,103,049
1777,167,172
1778,080,088
1779,195,107
1780,001,183
1781,198,164
1782,080,138
1783,122,093
1784,009,119
1785,198,059
1786,020,102
1787,169,094
1788,046,179
1789,140,108
1790,004,044
1791,017,051
1792,141,158
1793,037,195
1794,055,044
1795,022,059
1796,182,144
1797,196,175
1798,114,081
1799,002,077
1800,031,090
1801,128,103
1802,080,194
1803,125,185
1804,009,055
1805,155,165
1806,164,093
1807,023,086
1808,093,163
1809,155,048
1810,047,199
1811,097,116
1812,188,084
1813,193,105
1814,066,088
1815,189,017
1816,081,011
1817,115,060
1818,074,026
1819,104,197
1820,011,175
1821,037,035
1822,028,062
1823,108,081
1824,096,122
1825,087,094
1826,080,155
1827,121,182
1828,176,148
1829,133,178
1830,118,107
1831,142,052
1832,114,191
1833,157,079
1834,121,166
1835,125,104
1836,058,069
1837,079,195
1838,118,116
1839,176,037
1840,159,171
1841,199,008
1842,150,039
1843,000,134
1844,087,136
1845,023,041
1846,028,194
1847,108,103
1848,185,130
1849,101,196
1850,106,060
1851,033,185
1852,193,027
1853,110,033
1854,093,177
1855,177,141
1856,196,062
1857,117,191
1858,000,007
1859,094,137
1860,041,121
1861,191,001
1862,069,152
1863,114,102
1864,194,054
1865,014,108
1866,045,178
1867,168,192
1868,005,129
1869,035,149
1870,055,050
1871,150,055
1872,018,196
1873,150,199
1874,066,063
1875,164,166
1876,082,122
1877,020,064
1878,171,029
1879,044,066
1880,148,052
1881,134,037
1882,108,040
1883,081,089
1884,019,041
1885,149,147
1886,195,083
1887,199,196
1888,079,175
1889,083,160
1890,144,187
1891,129,176
1892,181,000
1893,191,189
1894,084,098
1895,058,194
1896,136,060
1897,090,177
1898,024,040
1899,057,190
1900,152,061
1901,087,105
1902,121,037
1903,037,177
1904,173,155
1905,024,111
1906,137,029
1907,031,065
1908,025,116
1909,136,165
1910,122,001
1911,130,165
1912,052,025
1913,115,043
1914,104,096
1915,026,166
1916,054,150
1917,049,046
1918,136,085
1919,166,186
1920,190,016
1921,058,198
1922,050,097
1923,116,081
1924,110,115
1925,120,105
1926,140,032
1927,010,005
1928,054,002
1929,002,188
1930,091,062
1931,169,122
1932,000,083
1933,022,090
1934,194,040
1935,092,124
1936,073,041
1937,156,188
1938,043,164
1939,181,182
1940,151,107
1941,109,124
1942,164,005
1943,039,114
1944,121,036
1945,044,077
1946,124,120
1947,197,009
1948,132,076
1949,042,089
1950,166,172
1951,056,062
1952,093,033
1953,189,110
1954,140,027
1955,078,088
1956,023,199
1957,017,120
1958,105,042
1959,021,183
1960,038,016
1961,058,172
1962,142,137
1963,115,005
1964,136,047
1965,167,057
1966,115,068
1967,061,114
1968,156,083
1969,067,020
1970,037,013
1971,096,164
1972,057,071
1973,125,101
1974,071,012
1975,032,028
1976,159,079
1977,029,010
1978,096,110
1979,002,057
1980,057,088
1981,091,117
1982,170,199
1983,014,130
1984,085,033
1985,189,199
1986,111,162
1987,039,136
1988,067,087
1989,074,053
1990,169,149
1991,178,064
1992,001,002
1993,037,104
1994,118,036
1995,115,009
1996,080,060
1997,183,089
1998,057,055
1999,114,036
2000,035,104
2001,190,103
2002,166,040
2003,179,182
2004,055,165
2005,028,155
2006,193,124
2007,165,002
2008,079,045
2009,157,104
2010,120,018
2011,129,128
2012,063,001
2013,078,158
2014,031,117
2015,138,199
2016,004,153
2017,058,136
2018,174,081
2019,068,116
2020,114,021
2021,016,023
2022,006,020
2023,043,019
2024,041,169
2025,016,124
2026,020,196
2027,148,090
2028,045,040
2029,194,124
2030,197,026
2031,028,056
2032,055,157
2033,185,178
2034,038,117
2035,052,049
2036,075,113
2037,103,105
2038,000,055
2039,168,171
2040,153,137
2041,197,040
2042,143,117
2043,124,050
2044,158,124
2045,179,040
2046,195,001
2047,169,171
2048,121,062
2049,125,017
2050,018,093
2051,042,078
2052,147,029
2053,062,023
2054,177,074
2055,152,150
2056,160,071
2057,109,098
2058,060,186
2059,079,179
2060,103,017
2061,161,027
2062,081,165
2063,089,067
2064,185,041
2065,081,146
2066,003,120
2067,183,091
2068,102,053
2069,075,011
2070,118,052
2071,151,096
2072,101,079
2073,189,114
2074,023,181
2075,005,038
2076,042,131
2077,116,128
2078,167,099
2079,140,163
2080,130,142
2081,064,058
2082,002,140
2083,025,097
2084,061,169
2085,181,088
2086,128,003
2087,088,140
2088,186,018
2089,002,068
2090,151,149
2091,186,096
2092,014,080
2093,169,009
2094,059,163
2095,142,085
2096,159,123
2097,165,125
2098,076,079
2099,122,188
2100,177,061
2101,090,153
2102,042,059
2103,057,144
2104,045,011
2105,050,055
2106,077,002
2107,167,141
2108,151,120
2109,114,094
2110,176,152
2111,166,079
2112,187,189
2113,008,160
2114,062,161
2115,095,021
2116,075,195
2117,105,189
2118,156,198
2119,099,147
2120,119,093
2121,191,182
2122,031,001
2123,063,009
2124,046,088
2125,095,121
2126,059,172
2127,049,106
2128,035,015
2129,123,115
2130,186,184
2131,004,132
2132,069,179
2133,195,015
2134,187,087
2135,116,134
2136,027,178
2137,107,148
2138,050,194
2139,133,080
2140,110,174
