,0,1,2
764,151,163,127
765,053,097,121
766,076,142,177
767,127,185,097
768,009,035,078
769,044,087,006
770,027,010,189
771,083,017,096
772,098,037,043
773,028,047,184
774,066,110,054
775,095,144,137
776,079,049,105
777,017,026,053
778,113,084,002
779,191,152,123
780,041,127,185
781,173,042,186
782,133,141,171
783,160,047,114
784,012,002,176
785,150,036,187
786,083,121,148
787,116,084,029
788,028,140,064
789,015,181,150
790,108,106,057
791,107,049,144
792,162,198,103
793,046,017,025
794,113,093,172
795,104,032,165
796,066,045,004
797,150,013,041
798,176,059,140
799,095,091,131
800,028,042,026
801,196,081,094
802,054,168,048
803,089,199,102
804,122,124,052
805,113,124,048
806,094,034,000
807,018,005,012
808,020,024,070
809,153,177,194
810,183,069,012
811,065,013,069
812,199,035,054
813,018,157,168
814,027,104,157
815,015,061,096
816,046,150,087
817,110,044,050
818,078,043,199
819,009,020,011
820,044,002,065
821,023,049,195
822,013,107,185
823,091,028,085
824,060,016,038
825,038,153,123
826,023,061,096
827,194,055,044
828,019,198,066
829,076,050,136
830,163,109,177
831,111,062,168
832,138,067,091
833,066,014,058
834,072,115,141
835,001,104,136
836,034,060,043
837,191,159,012
838,068,090,056
839,033,002,098
840,006,020,146
841,093,088,064
842,101,050,042
843,038,049,066
844,006,143,051
845,111,084,020
846,138,175,061
847,020,057,075
848,130,028,010
849,173,156,040
850,186,017,031
851,111,157,094
852,184,060,009
853,186,068,075
854,006,159,171
855,159,054,004
856,156,174,054
857,111,143,038
858,037,095,040
859,041,056,091
860,142,138,097
861,116,084,102
862,013,143,047
863,153,020,196
864,076,113,160
865,127,130,044
866,090,173,167
867,134,058,173
868,065,110,158
869,152,118,113
870,032,106,058
871,049,177,042
872,022,113,015
873,018,032,128
874,088,125,188
875,090,045,020
876,024,066,060
877,183,021,069
878,087,015,033
879,063,114,122
880,186,004,188
881,124,043,116
882,162,079,110
883,045,073,187
884,138,177,087
885,108,156,186
886,187,026,067
887,155,051,083
888,041,032,080
889,110,039,142
890,044,072,185
891,120,109,123
892,025,183,082
893,101,081,084
894,048,018,045
895,111,082,027
896,043,042,158
897,140,117,006
898,118,089,103
899,034,176,151
900,172,130,107
901,117,001,094
902,022,166,146
903,131,113,067
904,187,072,131
905,090,078,117
906,109,021,169
907,133,008,050
908,159,147,083
909,010,022,168
910,020,131,089
911,067,146,020
912,137,027,046
913,070,106,177
914,133,021,098
915,173,133,002
916,184,049,182
917,021,020,053
918,074,102,013
919,168,142,118
920,016,171,067
921,067,070,156
922,084,060,115
923,064,127,031
924,069,037,146
925,016,036,029
926,172,118,007
927,107,068,082
928,195,197,066
929,160,099,069
930,086,162,082
931,104,003,020
932,002,190,049
933,176,073,187
934,115,028,187
935,007,062,169
936,187,063,184
937,127,132,084
938,142,098,144
939,072,167,034
940,187,068,021
941,045,181,104
942,064,090,165
943,194,174,188
944,094,068,056
945,143,050,172
946,124,026,093
947,146,077,125
948,007,133,021
949,138,055,165
950,083,091,062
951,108,001,150
952,062,162,084
953,034,012,114
954,018,196,153
955,068,012,008
956,031,084,095
957,044,194,123
958,056,066,143
959,179,077,165
960,191,052,082
961,037,182,068
962,148,178,101
963,050,004,189
964,062,185,034
965,040,016,058
966,044,197,121
967,183,198,081
968,146,178,007
969,110,195,166
970,181,160,006
971,101,016,196
972,199,153,146
973,104,186,172
974,007,195,070
975,193,144,032
976,061,105,193
977,175,122,067
978,176,127,061
979,078,079,191
980,160,117,091
981,191,176,034
982,066,175,159
983,133,073,170
984,098,123,021
985,042,116,167
986,072,166,111
987,198,153,012
988,063,077,179
989,129,012,103
990,059,103,198
991,064,077,073
992,094,007,106
993,159,103,140
994,096,072,162
995,016,123,043
996,130,178,034
997,120,097,175
998,171,133,018
999,120,024,066
1000,026,151,144
1001,021,076,063
1002,018,189,060
1003,124,064,134
1004,146,116,123
1005,069,151,168
1006,067,091,040
1007,072,095,160
1008,162,191,089
1009,053,141,150
1010,093,002,075
1011,199,093,050
1012,127,070,138
1013,072,187,065
1014,036,064,151
1015,115,060,123
1016,076,061,005
1017,106,169,116
1018,169,136,048
1019,035,008,091
1020,175,108,149
1021,199,097,138
1022,106,080,011
1023,098,182,117
1024,144,036,121
1025,132,098,015
1026,004,025,153
1027,174,149,034
1028,060,175,077
1029,196,116,148
1030,108,002,067
1031,018,014,023
1032,104,015,074
1033,065,170,117
1034,132,109,054
1035,114,061,131
1036,083,132,172
1037,072,056,164
1038,001,013,136
1039,134,091,006
1040,036,082,051
1041,102,136,096
1042,101,181,136
1043,125,087,144
1044,049,182,123
1045,175,008,070
1046,107,173,151
1047,116,160,022
1048,046,121,013
1049,088,157,045
1050,053,181,004
1051,090,117,120
1052,048,142,192
1053,001,005,187
1054,113,085,097
1055,111,014,160
1056,047,003,140
1057,148,173,198
1058,051,001,109
1059,190,155,183
1060,025,096,082
1061,125,072,026
1062,099,007,160
1063,133,176,050
1064,080,121,178
1065,058,070,051
1066,130,044,197
1067,143,017,022
1068,144,091,171
1069,127,076,075
1070,152,110,082
1071,191,120,170
1072,189,164,046
1073,127,114,128
1074,059,085,128
1075,082,005,099
1076,115,025,082
1077,056,045,150
1078,051,021,082
1079,000,116,098
1080,074,130,108
1081,149,174,190
1082,156,187,082
1083,005,174,156
1084,162,036,062
1085,160,065,130
1086,106,070,162
1087,083,189,197
1088,076,179,192
1089,023,193,068
1090,151,005,167
1091,132,151,166
1092,002,091,124
1093,196,197,002
1094,108,024,099
1095,013,024,164
1096,005,056,011
1097,054,068,096
1098,122,056,157
1099,070,102,067
1100,164,071,173
1101,131,184,000
1102,195,168,193
1103,194,014,071
1104,117,091,009
1105,172,072,099
1106,107,012,105
1107,020,089,123
1108,098,031,050
1109,176,173,039
1110,024,073,163
1111,033,097,185
1112,072,172,133
1113,160,005,103
1114,024,136,181
1115,193,121,013
1116,080,037,032
1117,162,160,033
1118,022,155,170
1119,173,027,191
1120,121,098,095
1121,034,138,092
1122,144,122,159
1123,093,120,095
1124,063,026,068
1125,157,011,084
1126,025,019,127
1127,149,041,078
1128,000,114,009
1129,177,047,148
1130,028,099,113
1131,170,134,198
1132,019,052,003
1133,062,016,104
1134,103,111,178
1135,141,057,130
1136,183,032,147
1137,175,191,168
1138,068,104,003
1139,191,095,197
1140,081,005,161
1141,069,116,085
1142,193,059,022
1143,151,122,143
1144,183,166,034
1145,063,120,136
1146,157,151,078
1147,083,049,065
1148,120,123,058
1149,075,107,035
1150,031,197,132
1151,138,055,185
1152,054,191,105
1153,105,142,085
1154,039,081,127
1155,187,007,136
1156,096,182,122
1157,178,102,095
1158,057,020,196
1159,187,009,182
1160,098,168,086
1161,055,020,083
1162,090,080,084
1163,128,013,159
1164,125,143,158
1165,018,171,001
1166,165,174,142
1167,107,055,165
1168,006,197,105
1169,158,035,006
1170,129,186,037
1171,082,173,076
1172,129,198,069
1173,111,099,008
1174,114,091,158
1175,054,059,132
1176,047,014,099
1177,018,039,026
1178,032,108,036
1179,027,049,000
1180,153,173,141
1181,147,008,013
1182,160,049,013
1183,101,055,067
1184,197,160,065
1185,111,147,067
1186,187,005,146
1187,155,025,097
1188,179,158,045
1189,044,166,029
1190,181,021,106
1191,108,019,151
1192,012,043,107
1193,077,049,136
1194,008,190,164
1195,038,052,028
1196,144,164,067
1197,072,047,153
1198,162,043,191
1199,184,194,133
1200,160,156,134
1201,157,171,058
1202,165,178,063
1203,025,024,054
1204,064,077,094
1205,001,022,193
1206,002,028,127
1207,021,113,167
1208,176,122,085
1209,150,151,086
1210,071,106,193
1211,072,156,050
1212,017,185,132
1213,012,068,059
1214,162,190,080
1215,050,165,084
1216,120,107,007
1217,019,129,075
1218,088,064,181
1219,143,142,101
1220,091,078,077
1221,002,007,083
1222,037,132,131
1223,101,033,068
1224,192,161,066
1225,191,071,124
1226,142,083,087
1227,140,023,105
1228,055,198,191
1229,187,074,114
1230,038,150,191
1231,121,000,079
1232,086,105,092
1233,146,023,014
1234,038,027,089
1235,157,086,133
1236,178,191,004
1237,041,008,006
1238,152,150,140
1239,143,168,138
1240,069,107,148
1241,074,194,184
1242,110,014,156
1243,065,132,170
1244,198,143,006
1245,064,076,040
1246,097,114,002
1247,133,009,134
1248,105,183,061
1249,106,007,009
1250,186,131,110
1251,174,130,038
1252,017,027,082
1253,116,121,067
1254,024,110,093
1255,158,121,016
1256,037,006,130
1257,185,157,176
1258,040,092,072
1259,053,089,172
1260,177,111,080
1261,013,176,193
1262,117,147,165
1263,177,117,050
1264,127,080,081
1265,079,035,140
1266,011,089,000
1267,008,109,018
1268,186,195,017
1269,042,173,040
1270,163,013,094
1271,045,140,149
1272,018,062,055
1273,010,185,003
1274,086,018,079
1275,090,068,197
1276,173,080,086
1277,024,038,104
1278,007,045,104
1279,079,140,024
1280,181,051,185
1281,156,141,061
1282,012,006,108
1283,054,064,196
1284,199,083,194
1285,071,132,099
1286,053,093,027
1287,010,170,057
1288,117,094,142
1289,153,031,060
1290,020,072,121
1291,123,156,143
1292,003,081,077
1293,080,098,015
1294,188,013,028
1295,128,089,032
1296,141,043,148
1297,170,023,105
1298,147,077,177
1299,174,164,040
1300,140,176,171
1301,018,152,060
1302,035,043,067
1303,084,044,071
1304,079,165,158
1305,122,053,051
1306,136,063,099
1307,186,096,114
1308,055,077,184
1309,109,082,149
1310,191,077,127
1311,197,035,076
1312,043,149,075
1313,027,120,168
1314,150,147,004
1315,009,084,187
1316,177,061,125
1317,076,070,046
1318,061,134,014
1319,136,001,012
1320,074,121,198
1321,002,144,007
1322,173,035,108
1323,081,179,181
1324,084,192,168
1325,022,179,017
1326,155,158,105
1327,034,175,064
1328,052,069,078
1329,077,022,104
1330,072,149,075
1331,081,181,077
1332,125,119,052
1333,040,182,083
1334,003,068,188
1335,165,080,043
1336,114,093,089
1337,055,079,124
1338,094,054,111
1339,091,053,101
1340,041,172,165
1341,028,080,085
1342,061,005,187
1343,094,181,179
1344,036,077,013
1345,047,046,057
1346,093,120,049
1347,106,048,063
1348,134,051,075
1349,076,033,044
1350,084,017,152
1351,129,062,034
1352,079,149,194
1353,033,056,032
1354,103,196,125
1355,088,107,122
1356,177,082,047
1357,074,024,075
1358,004,165,130
1359,052,073,036
1360,049,196,163
1361,067,182,014
1362,190,175,081
1363,023,009,090
1364,092,196,024
1365,189,015,053
1366,106,173,123
1367,140,047,101
1368,151,013,010
1369,001,015,074
1370,177,036,125
1371,008,083,063
1372,181,186,179
1373,047,116,071
1374,195,002,086
1375,065,182,020
1376,006,133,164
1377,062,074,192
1378,050,022,142
1379,179,054,161
1380,146,103,122
1381,017,057,027
1382,104,054,118
1383,184,044,198
1384,022,062,000
1385,008,142,178
1386,137,132,088
1387,130,026,194
1388,146,065,021
1389,042,053,174
1390,021,151,024
1391,038,124,164
1392,192,088,134
1393,128,197,074
1394,123,199,033
1395,132,069,002
1396,086,080,073
1397,043,179,110
1398,195,122,138
1399,065,097,195
1400,158,115,141
1401,051,175,015
1402,125,133,136
1403,024,159,183
1404,089,131,060
1405,152,016,119
1406,184,137,062
1407,025,097,147
1408,042,029,075
1409,161,134,039
1410,142,041,193
1411,079,067,191
1412,039,089,066
1413,061,109,049
1414,029,150,072
1415,003,117,137
1416,027,187,105
1417,029,186,038
1418,077,155,036
1419,094,103,092
1420,176,036,167
1421,012,009,119
1422,129,091,086
1423,064,021,132
1424,094,125,188
1425,101,068,140
1426,031,095,165
1427,081,096,057
1428,057,001,046
1429,136,174,005
1430,096,174,058
1431,006,193,013
1432,091,002,153
1433,120,127,050
1434,015,172,146
1435,060,018,083
1436,048,133,109
1437,018,076,179
1438,093,039,185
1439,034,003,142
1440,168,110,159
1441,118,090,197
1442,060,074,048
1443,054,195,129
1444,155,010,147
1445,198,050,185
1446,072,049,159
1447,170,132,111
1448,116,184,060
1449,141,168,048
1450,114,134,177
1451,119,063,077
1452,122,178,012
1453,028,093,053
1454,098,174,131
1455,166,199,130
1456,047,152,191
1457,045,174,071
1458,116,096,003
1459,067,137,138
1460,168,175,058
1461,193,046,075
1462,069,013,131
1463,019,003,122
1464,196,064,153
1465,199,061,048
1466,095,042,122
1467,151,019,170
1468,011,169,132
1469,040,077,164
1470,088,098,196
1471,004,088,109
1472,038,183,014
1473,009,147,005
1474,089,050,054
1475,189,150,024
1476,141,023,003
1477,106,043,049
1478,019,065,156
1479,149,109,150
1480,120,013,069
1481,168,105,027
1482,152,056,155
1483,151,109,073
1484,068,188,152
1485,036,169,070
1486,007,021,195
1487,026,022,175
1488,098,078,040
1489,027,020,190
1490,025,020,159
1491,150,157,068
1492,166,010,086
1493,043,040,187
1494,108,071,044
1495,049,088,026
1496,063,149,185
1497,081,096,113
1498,103,137,024
1499,181,163,055
1500,080,127,018
1501,055,122,147
1502,057,163,073
1503,125,187,129
1504,183,095,194
1505,012,025,184
1506,120,159,002
1507,163,168,074
1508,171,105,164
1509,026,016,096
1510,114,093,057
1511,076,059,060
1512,123,018,097
1513,144,047,040
1514,184,059,192
1515,095,006,121
1516,193,097,088
1517,061,122,080
1518,079,187,099
1519,063,008,128
1520,051,155,073
1521,005,019,034
1522,122,069,099
1523,165,031,082
1524,001,171,009
1525,036,063,198
1526,006,031,069
1527,105,086,164
1528,124,117,140
1529,197,118,128
1530,033,173,143
1531,082,194,195
1532,023,167,050
1533,084,182,020
1534,028,148,118
1535,087,074,118
1536,047,136,106
1537,163,097,068
1538,073,075,186
1539,081,061,092
1540,010,039,170
1541,113,074,097
1542,144,023,007
1543,127,167,082
1544,086,058,105
1545,056,035,084
1546,077,195,197
1547,190,175,153
1548,167,075,069
1549,167,196,147
1550,076,022,178
1551,178,179,174
1552,195,143,020
1553,152,029,028
1554,010,062,117
1555,174,108,190
1556,007,153,050
1557,141,177,084
1558,024,108,041
1559,107,034,164
1560,119,104,007
1561,037,085,178
1562,084,141,127
1563,101,068,006
1564,053,198,125
1565,031,075,083
1566,097,192,142
1567,108,132,120
1568,095,118,077
1569,084,096,115
1570,107,119,196
1571,067,136,159
1572,091,192,193
1573,002,116,156
1574,009,038,086
1575,149,106,072
1576,041,174,083
1577,124,188,175
1578,092,163,010
1579,109,152,061
1580,051,053,115
1581,024,177,084
1582,152,037,090
1583,051,160,111
1584,003,169,102
1585,191,179,170
1586,073,049,039
1587,041,190,188
1588,188,183,022
1589,122,178,136
1590,081,053,055
1591,071,025,029
1592,199,040,175
1593,143,099,038
1594,032,124,048
1595,199,036,052
1596,021,053,170
1597,013,157,182
1598,028,144,077
1599,055,088,138
1600,122,173,143
1601,051,109,196
1602,019,009,168
1603,045,182,086
1604,190,005,046
1605,045,187,076
1606,106,188,153
1607,033,114,107
1608,002,194,034
1609,018,131,175
1610,078,125,190
1611,031,083,057
1612,092,151,116
1613,014,048,198
1614,027,157,005
1615,156,141,132
1616,004,107,116
1617,134,127,015
1618,081,006,011
1619,054,173,133
1620,057,118,136
1621,194,085,087
1622,005,045,125
1623,040,086,183
1624,015,009,170
1625,092,047,176
1626,101,134,131
1627,150,096,063
1628,095,121,184
1629,020,119,172
1630,195,037,162
1631,023,050,136
1632,114,086,165
1633,070,079,169
1634,168,118,113
1635,033,097,174
1636,193,069,058
1637,063,178,019
1638,048,129,158
1639,140,054,192
1640,016,116,091
1641,020,023,008
1642,157,038,022
1643,032,090,185
1644,066,164,069
1645,141,163,110
1646,134,102,149
1647,182,102,058
1648,042,187,077
1649,104,058,191
1650,103,049,157
1651,006,066,033
1652,031,196,159
1653,046,082,023
1654,188,055,133
1655,060,004,042
1656,138,027,075
1657,037,158,010
1658,124,046,164
1659,096,055,036
1660,024,083,194
1661,042,027,198
1662,064,120,127
1663,173,129,137
1664,106,060,051
