,topic_num,topic_name,topic_num_name,scenario,evidence,case_strength,punishment
19,019,"['illusion', 'physical', 'perceived']","019 ['illusion', 'physical', 'perceived']",-0.0439,-0.0911,0.0121,-0.0102
20,020,"['wm', 'load', 'memory']","020 ['wm', 'load', 'memory']",-0.0043,0.1689,-0.0234,-0.0137
21,021,"['depression', 'disorder', 'depressed']","021 ['depression', 'disorder', 'depressed']",-0.0734,0.0056,0.0527,-0.1306
22,022,"['stroke', 'recovery', 'aphasia']","022 ['stroke', 'recovery', 'aphasia']",-0.1073,-0.279,0.0917,-0.0891
23,023,"['reasoning', 'relational', 'relations']","023 ['reasoning', 'relational', 'relations']",0.0443,0.2556,-0.053,0.0357
24,024,"['recruitment', 'recruited', 'engaged']","024 ['recruitment', 'recruited', 'engaged']",0.1111,0.234,-0.1083,0.1533
25,025,"['state', 'resting', 'fc']","025 ['state', 'resting', 'fc']",-0.1397,-0.1427,0.0346,-0.1499
26,026,"['time', 'delay', 'temporal']","026 ['time', 'delay', 'temporal']",0.0228,0.0167,0.0077,0.06
27,027,"['response', 'time', 'reaction']","027 ['response', 'time', 'reaction']",-0.0221,0.0732,-0.048,0.0218
28,028,"['memory', 'retrieval', 'episodic']","028 ['memory', 'retrieval', 'episodic']",0.0788,0.2387,-0.0073,0.1014
29,029,"['matter', 'gray', 'volume']","029 ['matter', 'gray', 'volume']",-0.1107,-0.078,0.0914,-0.2035
30,030,"['events', 'future', 'personal']","030 ['events', 'future', 'personal']",0.0523,0.0974,-0.0284,-0.0044
31,031,"['hearing', 'deaf', 'sign']","031 ['hearing', 'deaf', 'sign']",0.0515,-0.0101,-0.0182,0.052
32,032,"['children', 'age', 'adults']","032 ['children', 'age', 'adults']",-0.0337,-0.0201,0.0225,-0.053
33,033,"['anterior', 'cingulate', 'insula']","033 ['anterior', 'cingulate', 'insula']",-0.1348,-0.0926,-0.014,-0.0481
34,034,"['fatigue', 'spinal', 'cord']","034 ['fatigue', 'spinal', 'cord']",-0.1209,-0.2034,0.0578,-0.1368
35,035,"['automatic', 'situations', 'situation']","035 ['automatic', 'situations', 'situation']",0.0241,0.0766,-0.0249,0.0726
36,036,"['group', 'control', 'pattern']","036 ['group', 'control', 'pattern']",-0.0119,0.0406,0.0355,-0.071
37,037,"['long', 'term', 'short']","037 ['long', 'term', 'short']",0.0434,0.0801,0.0146,-0.0245
38,038,"['adults', 'age', 'older']","038 ['adults', 'age', 'older']",0.0023,0.0221,0.0005,0.0315
39,039,"['light', 'shed', 'alertness']","039 ['light', 'shed', 'alertness']",-0.0147,-0.0081,-0.0046,-0.007
40,040,"['ventral', 'dorsal', 'stream']","040 ['ventral', 'dorsal', 'stream']",0.0564,0.0533,0.0039,0.1409
41,041,"['mi', 'md', 'rs']","041 ['mi', 'md', 'rs']",-0.0329,-0.036,0.0237,-0.0297
42,042,"['negative', 'positive', 'vmpfc']","042 ['negative', 'positive', 'vmpfc']",-0.0366,-0.0162,0.0516,-0.0778
43,043,"['conflict', 'interference', 'incongruent']","043 ['conflict', 'interference', 'incongruent']",-0.0179,0.1704,-0.0783,0.0289
44,044,"['reho', 'resting', 'state']","044 ['reho', 'resting', 'state']",-0.1311,-0.144,0.0519,-0.1666
45,045,"['gyrus', 'frontal', 'inferior']","045 ['gyrus', 'frontal', 'inferior']",-0.021,-0.0046,-0.0574,-0.0083
46,046,"['hemisphere', 'hemispheric', 'language']","046 ['hemisphere', 'hemispheric', 'language']",-0.0244,-0.1062,-0.0212,-0.0188
47,047,"['parietal', 'network', 'fronto']","047 ['parietal', 'network', 'fronto']",0.0282,0.1641,-0.0516,0.0562
48,048,"['parietal', 'inferior', 'lobule']","048 ['parietal', 'inferior', 'lobule']",-0.0032,0.1247,-0.0072,0.0468
49,049,"['thalamus', 'putamen', 'striatal']","049 ['thalamus', 'putamen', 'striatal']",-0.003,0.0212,0.0444,0.0132
50,050,"['alcohol', 'substance', 'history']","050 ['alcohol', 'substance', 'history']",-0.0677,0.0317,-0.0231,-0.0613
51,051,"['sustained', 'transient', 'monitoring']","051 ['sustained', 'transient', 'monitoring']",0.0895,0.0924,-0.0553,0.0787
52,052,"['control', 'cognitive', 'task']","052 ['control', 'cognitive', 'task']",-0.011,0.1904,-0.0766,-0.0148
53,053,"['stimulation', 'tms', 'rtms']","053 ['stimulation', 'tms', 'rtms']",-0.0897,-0.2559,0.0366,-0.1174
54,054,"['food', 'weight', 'eating']","054 ['food', 'weight', 'eating']",-0.0946,-0.0358,0.0591,-0.0586
55,055,"['music', 'musical', 'pitch']","055 ['music', 'musical', 'pitch']",-0.0794,-0.2088,-0.0489,-0.0695
56,056,"['placebo', 'mg', 'ht']","056 ['placebo', 'mg', 'ht']",-0.0577,0.0158,0.0217,-0.1181
57,057,"['learning', 'learned', 'sequence']","057 ['learning', 'learned', 'sequence']",-0.0414,0.0517,0.0426,0.0337
58,058,"['autonomic', 'arousal', 'rate']","058 ['autonomic', 'arousal', 'rate']",-0.0211,-0.0542,0.0373,-0.0421
59,059,"['individual', 'variability', 'subject']","059 ['individual', 'variability', 'subject']",-0.0522,-0.0963,0.0401,0.0054
60,060,"['mechanisms', 'underlying', 'evaluation']","060 ['mechanisms', 'underlying', 'evaluation']",-0.0571,-0.0806,0.0643,-0.0263
61,061,"['individuals', 'people', 'group']","061 ['individuals', 'people', 'group']",-0.0411,0.0375,-0.0016,-0.0488
62,062,"['matter', 'volume', 'grey']","062 ['matter', 'volume', 'grey']",-0.1118,-0.1134,0.1216,-0.1649
63,063,"['nucleus', 'caudate', 'accumbens']","063 ['nucleus', 'caudate', 'accumbens']",-0.0386,0.0681,0.0214,0.0295
64,064,"['attention', 'attentional', 'visual']","064 ['attention', 'attentional', 'visual']",0.081,0.0642,-0.0164,0.0584
65,065,"['recognition', 'correct', 'familiarity']","065 ['recognition', 'correct', 'familiarity']",0.0218,0.2278,-0.0281,0.1062
66,066,"['emotional', 'negative', 'amygdala']","066 ['emotional', 'negative', 'amygdala']",0.0791,0.0088,0.0003,0.0289
67,067,"['adolescents', 'adolescent', 'age']","067 ['adolescents', 'adolescent', 'age']",-0.068,0.0315,-0.0054,-0.0795
68,068,"['high', 'level', 'higher']","068 ['high', 'level', 'higher']",-0.0133,0.0341,-0.0085,0.0066
69,069,"['response', 'sensitivity', 'hemodynamic']","069 ['response', 'sensitivity', 'hemodynamic']",-0.0387,-0.0662,-0.0196,-0.0403
70,070,"['classification', 'accuracy', 'machine']","070 ['classification', 'accuracy', 'machine']",-0.0757,-0.0746,0.0634,-0.1107
71,071,"['interaction', 'modulation', 'influence']","071 ['interaction', 'modulation', 'influence']",0.0088,-0.0002,-0.032,0.0097
72,072,"['items', 'pairs', 'item']","072 ['items', 'pairs', 'item']",0.0329,0.2506,-0.0355,0.0954
73,073,"['ifg', 'gyrus', 'frontal']","073 ['ifg', 'gyrus', 'frontal']",0.1166,0.0934,-0.0473,0.0695
74,074,"['feedback', 'negative', 'performance']","074 ['feedback', 'negative', 'performance']",-0.0827,-0.0553,0.0008,-0.0284
75,075,"['asd', 'autism', 'group']","075 ['asd', 'autism', 'group']",0.071,0.001,-0.0201,0.0071
76,076,"['ocd', 'disorder', 'compulsive']","076 ['ocd', 'disorder', 'compulsive']",-0.0684,0.043,0.018,-0.0753
77,077,"['mpfc', 'cortex', 'prefrontal']","077 ['mpfc', 'cortex', 'prefrontal']",-0.0297,0.0543,-0.0139,0.0346
78,078,"['stress', 'ms', 'cortisol']","078 ['stress', 'ms', 'cortisol']",-0.0717,-0.0212,0.0465,-0.0565
79,079,"['training', 'practice', 'trained']","079 ['training', 'practice', 'trained']",-0.0974,-0.118,0.0591,-0.057
80,080,"['gait', 'walking', 'bg']","080 ['gait', 'walking', 'bg']",-0.012,-0.0585,0.0302,-0.0247
81,081,"['pattern', 'patterns', 'representations']","081 ['pattern', 'patterns', 'representations']",0.0078,-0.0661,0.0461,-0.0206
82,082,"['motion', 'mt', 'moving']","082 ['motion', 'mt', 'moving']",0.087,-0.1062,0.0577,0.0946
83,083,"['posterior', 'anterior', 'cortex']","083 ['posterior', 'anterior', 'cortex']",-0.0645,-0.1215,0.0471,-0.0238
84,084,"['research', 'previous', 'important']","084 ['research', 'previous', 'important']",-0.0024,0.0598,-0.0496,-0.049
85,085,"['human', 'organization', 'subregions']","085 ['human', 'organization', 'subregions']",-0.0543,-0.0931,0.0364,-0.0279
86,086,"['ips', 'number', 'numerical']","086 ['ips', 'number', 'numerical']",-0.0142,0.187,-0.0147,0.0202
87,087,"['ptsd', 'trauma', 'stress']","087 ['ptsd', 'trauma', 'stress']",-0.0297,-0.0611,0.0444,-0.0479
88,088,"['network', 'frontoparietal', 'identified']","088 ['network', 'frontoparietal', 'identified']",0.0699,0.151,-0.1106,0.0898
89,089,"['pfc', 'prefrontal', 'cortex']","089 ['pfc', 'prefrontal', 'cortex']",0.0098,0.2087,-0.0541,-0.0084
90,090,"['imagery', 'mental', 'rotation']","090 ['imagery', 'mental', 'rotation']",0.0191,-0.0352,0.0114,0.0493
91,091,"['movement', 'motor', 'movements']","091 ['movement', 'motor', 'movements']",-0.0993,-0.2883,0.0561,-0.0351
92,092,"['executive', 'control', 'functions']","092 ['executive', 'control', 'functions']",-0.0609,0.1235,-0.0363,0.0063
93,093,"['language', 'sentences', 'comprehension']","093 ['language', 'sentences', 'comprehension']",0.1891,0.0969,-0.0911,0.1224
94,094,"['allele', 'genetic', 'genotype']","094 ['allele', 'genetic', 'genotype']",-0.0137,0.0837,-0.0079,-0.0933
95,095,"['verbs', 'verb', 'nouns']","095 ['verbs', 'verb', 'nouns']",0.1482,0.1399,-0.0702,0.1699
96,096,"['hd', 'psychopathy', 'fcd']","096 ['hd', 'psychopathy', 'fcd']",-0.0809,-0.0737,0.0251,-0.0557
97,097,"['adaptation', 'selective', 'stimulus']","097 ['adaptation', 'selective', 'stimulus']",0.094,0.0122,0.0144,0.0771
98,098,"['cbf', 'perfusion', 'cerebral']","098 ['cbf', 'perfusion', 'cerebral']",-0.1024,-0.1254,0.1085,-0.1211
99,099,"['detection', 'novelty', 'oddball']","099 ['detection', 'novelty', 'oddball']",-0.0204,-0.0129,-0.0457,-0.0281
100,100,"['gestures', 'abstract', 'race']","100 ['gestures', 'abstract', 'race']",0.1315,0.1033,-0.0706,0.0345
101,101,"['ms', 'source', 'sources']","101 ['ms', 'source', 'sources']",-0.1291,-0.3009,0.0658,-0.1349
102,102,"['method', 'spatial', 'methods']","102 ['method', 'spatial', 'methods']",-0.0726,-0.1437,0.0676,-0.0962
103,103,"['timing', 'temporal', 'rhythm']","103 ['timing', 'temporal', 'rhythm']",-0.006,-0.058,-0.0565,0.0356
104,104,"['smokers', 'smoking', 'nicotine']","104 ['smokers', 'smoking', 'nicotine']",-0.076,-0.0069,0.0244,-0.0325
105,105,"['mdd', 'depressive', 'depression']","105 ['mdd', 'depressive', 'depression']",-0.0843,-0.0212,0.0573,-0.1112
106,106,"['blind', 'sighted', 'judgments']","106 ['blind', 'sighted', 'judgments']",0.0283,-0.0646,0.0021,0.0581
107,107,"['model', 'models', 'linear']","107 ['model', 'models', 'linear']",-0.0377,-0.1087,0.04,0.0155
108,108,"['visual', 'auditory', 'sensory']","108 ['visual', 'auditory', 'sensory']",0.0224,-0.1694,-0.0245,0.037
109,109,"['measures', 'size', 'level']","109 ['measures', 'size', 'level']",-0.0611,-0.1419,0.0456,-0.1006
110,110,"['lesions', 'patient', 'lesion']","110 ['lesions', 'patient', 'lesion']",-0.0499,-0.1725,0.0663,-0.072
111,111,"['memory', 'encoding', 'hippocampal']","111 ['memory', 'encoding', 'hippocampal']",0.0711,0.1661,-0.0149,0.086
112,112,"['context', 'empathy', 'contextual']","112 ['context', 'empathy', 'contextual']",0.0566,0.0872,-0.0632,0.0325
113,113,"['network', 'global', 'local']","113 ['network', 'global', 'local']",-0.0347,-0.0307,0.0441,-0.0551
114,114,"['vestibular', 'tbi', 'injury']","114 ['vestibular', 'tbi', 'injury']",-0.0605,-0.1666,0.036,-0.0721
115,115,"['face', 'faces', 'fusiform']","115 ['face', 'faces', 'fusiform']",0.1507,0.0864,-0.0453,0.0631
116,116,"['task', 'matching', 'strategy']","116 ['task', 'matching', 'strategy']",0.0611,0.1803,-0.0358,0.097
117,117,"['object', 'objects', 'visual']","117 ['object', 'objects', 'visual']",0.0733,0.0509,0.0164,0.1505
118,118,"['goal', 'goals', 'planning']","118 ['goal', 'goals', 'planning']",0.0139,0.2071,-0.0267,0.0235
119,119,"['dlpfc', 'prefrontal', 'cortex']","119 ['dlpfc', 'prefrontal', 'cortex']",-0.0736,0.1821,-0.0682,-0.0401
120,120,"['hand', 'movements', 'limb']","120 ['hand', 'movements', 'limb']",-0.1107,-0.3773,0.0778,-0.0672
121,121,"['tool', 'tools', 'knowledge']","121 ['tool', 'tools', 'knowledge']",0.0434,0.067,-0.0117,0.1186
122,122,"['magnetic', 'order', 'resonance']","122 ['magnetic', 'order', 'resonance']",-0.005,-0.0259,-0.0043,-0.0061
123,123,"['junction', 'tpj', 'temporoparietal']","123 ['junction', 'tpj', 'temporoparietal']",0.1525,0.1286,-0.0668,0.0062
124,124,"['post', 'pre', 'roi']","124 ['post', 'pre', 'roi']",-0.0798,-0.1109,0.0225,-0.0913
125,125,"['expertise', 'experts', 'ic']","125 ['expertise', 'experts', 'ic']",0.0093,0.0094,-0.0356,-0.016
126,126,"['anxiety', 'aggression', 'anxious']","126 ['anxiety', 'aggression', 'anxious']",-0.0403,-0.0479,0.0333,-0.0506
127,127,"['task', 'performance', 'cognitive']","127 ['task', 'performance', 'cognitive']",0.0255,0.1879,-0.071,0.0841
128,128,"['prediction', 'error', 'outcome']","128 ['prediction', 'error', 'outcome']",0.0488,0.1497,-0.0887,0.049
129,129,"['gyrus', 'temporal', 'middle']","129 ['gyrus', 'temporal', 'middle']",0.0936,0.0265,-0.0006,0.0924
130,130,"['risk', 'high', 'taking']","130 ['risk', 'high', 'taking']",-0.0489,0.0879,-0.0309,-0.0317
131,131,"['test', 'performance', 'intelligence']","131 ['test', 'performance', 'intelligence']",-0.0492,0.0425,0.0615,-0.0278
132,132,"['mtl', 'temporal', 'medial']","132 ['mtl', 'temporal', 'medial']",0.0462,0.1086,0.0296,0.0302
133,133,"['pd', 'error', 'errors']","133 ['pd', 'error', 'errors']",-0.0784,-0.0621,0.0011,-0.1023
134,134,"['motor', 'cortex', 'supplementary']","134 ['motor', 'cortex', 'supplementary']",-0.087,-0.2643,0.0369,-0.0378
135,135,"['basal', 'ganglia', 'moral']","135 ['basal', 'ganglia', 'moral']",0.0291,0.0122,0.029,0.0191
136,136,"['white', 'matter', 'tensor']","136 ['white', 'matter', 'tensor']",-0.1103,-0.1539,0.1862,-0.1456
137,137,"['regulation', 'emotion', 'reappraisal']","137 ['regulation', 'emotion', 'reappraisal']",0.0287,0.0346,-0.0103,-0.035
138,138,"['real', 'virtual', 'reality']","138 ['real', 'virtual', 'reality']",0.0379,-0.0546,0.0031,0.0533
139,139,"['faces', 'emotional', 'facial']","139 ['faces', 'emotional', 'facial']",0.1144,-0.0119,0.0021,-0.0102
140,140,"['epilepsy', 'temporal', 'lobe']","140 ['epilepsy', 'temporal', 'lobe']",-0.0191,-0.0378,0.0174,-0.1061
141,141,"['systems', 'predicted', 'models']","141 ['systems', 'predicted', 'models']",0.0996,0.1929,-0.0719,0.1079
142,142,"['scene', 'scenes', 'perspective']","142 ['scene', 'scenes', 'perspective']",0.0636,0.0662,0.0076,0.048
143,143,"['action', 'actions', 'observation']","143 ['action', 'actions', 'observation']",0.088,-0.0289,-0.0295,0.1361
144,144,"['integration', 'process', 'task']","144 ['integration', 'process', 'task']",0.0516,0.1193,-0.0275,0.0758
145,145,"['mind', 'mental', 'social']","145 ['mind', 'mental', 'social']",0.1966,0.0796,-0.1038,0.0304
146,146,"['pain', 'painful', 'chronic']","146 ['pain', 'painful', 'chronic']",-0.1412,-0.2201,0.0463,-0.1162
147,147,"['target', 'search', 'targets']","147 ['target', 'search', 'targets']",0.0232,0.0415,-0.0117,0.0068
148,148,"['approach', 'paradigm', 'free']","148 ['approach', 'paradigm', 'free']",0.024,-0.0465,-0.0346,-0.0021
149,149,"['olfactory', 'taste', 'odor']","149 ['olfactory', 'taste', 'odor']",-0.0358,-0.0412,0.031,-0.0623
150,150,"['reading', 'phonological', 'readers']","150 ['reading', 'phonological', 'readers']",0.1237,0.1518,-0.0497,0.1751
151,151,"['common', 'overlap', 'overlapping']","151 ['common', 'overlap', 'overlapping']",0.091,0.1556,-0.0763,0.1255
152,152,"['perceptual', 'perception', 'visual']","152 ['perceptual', 'perception', 'visual']",0.0229,-0.0261,0.0,0.031
153,153,"['phase', 'women', 'menstrual']","153 ['phase', 'women', 'menstrual']",-0.0202,-0.0597,0.0255,-0.0215
154,154,"['social', 'interactions', 'interaction']","154 ['social', 'interactions', 'interaction']",0.0585,0.0309,-0.0391,0.005
155,155,"['temporal', 'sulcus', 'superior']","155 ['temporal', 'sulcus', 'superior']",0.1944,-0.0749,-0.0472,0.0548
156,156,"['schizophrenia', 'group', 'psychosis']","156 ['schizophrenia', 'group', 'psychosis']",-0.0012,0.0433,-0.0187,-0.0656
157,157,"['somatosensory', 'stimulation', 'cortex']","157 ['somatosensory', 'stimulation', 'cortex']",-0.1974,-0.4125,0.0787,-0.1712
158,158,"['pet', 'glucose', 'metabolism']","158 ['pet', 'glucose', 'metabolism']",-0.0679,-0.0588,0.0693,-0.1074
159,159,"['inhibition', 'response', 'inhibitory']","159 ['inhibition', 'response', 'inhibitory']",-0.0163,0.0504,-0.0973,-0.0475
160,160,"['bias', 'biases', 'spd']","160 ['bias', 'biases', 'spd']",0.0043,-0.0069,0.0047,-0.0019
161,161,"['women', 'men', 'sex']","161 ['women', 'men', 'sex']",-0.0236,-0.0619,0.0021,-0.0413
162,162,"['words', 'word', 'lexical']","162 ['words', 'word', 'lexical']",0.144,0.1311,-0.0291,0.1953
163,163,"['language', 'chinese', 'english']","163 ['language', 'chinese', 'english']",0.1036,0.1451,-0.0556,0.164
164,164,"['frequency', 'hz', 'power']","164 ['frequency', 'hz', 'power']",-0.1231,-0.259,0.0683,-0.098
165,165,"['early', 'stage', 'late']","165 ['early', 'stage', 'late']",0.0365,-0.019,0.019,0.0202
166,166,"['pictures', 'picture', 'images']","166 ['pictures', 'picture', 'images']",0.0917,0.0763,-0.0133,0.1067
167,167,"['human', 'humans', 'animal']","167 ['human', 'humans', 'animal']",0.0118,-0.0161,0.0604,0.052
168,168,"['baseline', 'time', 'follow']","168 ['baseline', 'time', 'follow']",-0.0529,-0.073,0.0771,-0.0626
169,169,"['acupuncture', 'stimulation', 'vstm']","169 ['acupuncture', 'stimulation', 'vstm']",-0.0328,-0.1294,0.0197,-0.0491
170,170,"['noise', 'scanner', 'epi']","170 ['noise', 'scanner', 'epi']",-0.0499,-0.1302,0.0676,-0.0585
171,171,"['cortex', 'prefrontal', 'medial']","171 ['cortex', 'prefrontal', 'medial']",-0.0342,0.2807,-0.0825,-0.0238
172,172,"['verbal', 'fluency', 'overt']","172 ['verbal', 'fluency', 'overt']",0.0427,0.0561,-0.036,0.1025
173,173,"['touch', 'ct', 'tactile']","173 ['touch', 'ct', 'tactile']",-0.178,-0.2844,0.045,-0.13
174,174,"['type', 'joint', 'sa']","174 ['type', 'joint', 'sa']",0.0389,0.0358,-0.0319,0.0535
175,175,"['dopamine', 'dopaminergic', 'striatum']","175 ['dopamine', 'dopaminergic', 'striatum']",0.0239,0.1134,0.0186,0.0407
176,176,"['met', 'val', 'comt']","176 ['met', 'val', 'comt']",-0.0513,-0.005,0.0552,-0.0972
177,177,"['mood', 'rumination', 'induction']","177 ['mood', 'rumination', 'induction']",-0.0222,-0.0512,0.0219,-0.0848
178,178,"['resonance', 'magnetic', 'previous']","178 ['resonance', 'magnetic', 'previous']",0.0277,-0.009,-0.0047,0.0951
179,179,"['memory', 'working', 'task']","179 ['memory', 'working', 'task']",0.0002,0.3058,-0.0781,0.0182
180,180,"['amygdala', 'threat', 'fear']","180 ['amygdala', 'threat', 'fear']",0.0785,0.0167,0.0288,-0.0024
181,181,"['creative', 'creativity', 'generation']","181 ['creative', 'creativity', 'generation']",0.0945,0.0645,-0.0501,0.0553
182,182,"['experience', 'subjective', 'ratings']","182 ['experience', 'subjective', 'ratings']",0.0102,-0.0788,-0.0099,0.0015
183,183,"['orientation', 'colour', 'separation']","183 ['orientation', 'colour', 'separation']",0.0263,0.0304,0.0412,0.0289
184,184,"['spatial', 'location', 'space']","184 ['spatial', 'location', 'space']",0.0108,0.0307,0.0137,0.0288
185,185,"['relatives', 'genetic', 'siblings']","185 ['relatives', 'genetic', 'siblings']",-0.0498,-0.0694,0.0742,-0.0972
186,186,"['decision', 'making', 'choice']","186 ['decision', 'making', 'choice']",-0.0792,0.1839,-0.0291,-0.0097
187,187,"['speech', 'auditory', 'temporal']","187 ['speech', 'auditory', 'temporal']",-0.0502,-0.2686,0.0205,-0.05
188,188,"['sleep', 'sd', 'als']","188 ['sleep', 'sd', 'als']",-0.0375,-0.0795,0.065,-0.0419
189,189,"['category', 'categories', 'categorization']","189 ['category', 'categories', 'categorization']",0.0817,0.0988,-0.0197,0.0951
190,190,"['visual', 'cortex', 'occipital']","190 ['visual', 'cortex', 'occipital']",0.0582,-0.024,0.0171,0.1287
191,191,"['eye', 'gaze', 'saccade']","191 ['eye', 'gaze', 'saccade']",0.0522,-0.0731,0.0345,0.059
192,192,"['stimulus', 'trials', 'trial']","192 ['stimulus', 'trials', 'trial']",0.0413,0.103,-0.0639,0.0793
193,193,"['mirror', 'video', 'imitation']","193 ['mirror', 'video', 'imitation']",0.0554,-0.0895,-0.0167,0.0631
194,194,"['network', 'default', 'dmn']","194 ['network', 'default', 'dmn']",-0.0479,-0.0259,-0.0125,-0.0847
195,195,"['group', 'age', 'magnetic']","195 ['group', 'age', 'magnetic']",-0.1334,-0.0951,0.0636,-0.1987
196,196,"['personality', 'trait', 'scores']","196 ['personality', 'trait', 'scores']",-0.0453,0.0004,0.011,-0.0829
197,197,"['reward', 'striatum', 'anticipation']","197 ['reward', 'striatum', 'anticipation']",-0.0294,0.1086,0.0336,0.0527
198,198,"['repetition', 'priming', 'suppression']","198 ['repetition', 'priming', 'suppression']",0.0576,0.0757,-0.0057,0.0554
199,199,"['users', 'cocaine', 'drug']","199 ['users', 'cocaine', 'drug']",-0.0558,0.0291,0.0218,-0.0846
