Feature,juror_z-stat_maps/juror_scenario.nii.gz,juror_z-stat_maps/juror_evidence.nii.gz,juror_z-stat_maps/juror_case_strength.nii.gz,juror_z-stat_maps/juror_punishment.nii.gz
alzheimer,-0.0088,-0.0064,0.0668,-0.0708
alzheimer disease,-0.0036,0.0038,0.0689,-0.0656
ambiguous,0.01,0.0572,-0.0035,0.0669
amnestic,0.0203,0.0102,0.0316,-0.0221
amplitude,-0.1215,-0.215,0.0471,-0.1271
amplitude low,-0.0873,-0.0836,0.049,-0.114
amplitudes,-0.0532,-0.1337,-0.0099,-0.0358
amygdala,0.0785,0.033,0.0231,-0.0115
amygdala anterior,0.002,-0.0061,-0.015,-0.0055
amygdala hippocampus,0.0463,0.0026,-0.0006,-0.0055
amygdala insula,-0.0004,-0.0628,0.0409,-0.0007
amygdala response,0.0039,0.0539,0.0063,-0.0309
amygdala responses,0.064,0.0235,0.0214,0.0002
analysed,-0.0697,-0.0791,0.0478,-0.043
analyses,-0.0225,-0.0764,-0.0158,-0.0281
analyze,-0.0198,-0.1301,0.0469,-0.0619
analyzed,-0.0351,-0.0538,0.0403,-0.0576
analyzed using,-0.0536,-0.0049,0.0057,-0.1072
analyzing,0.0053,0.0166,0.0143,0.0515
anatomical,-0.0395,-0.087,0.0685,-0.0304
anatomically,-0.0611,-0.0479,0.0248,-0.0533
anatomy,-0.0498,-0.1897,0.0969,-0.0233
anger,0.0483,-0.01,0.0215,0.031
angry,0.0534,0.0395,-0.0239,-0.0122
angular,0.025,0.1305,-0.0043,0.0511
angular gyrus,0.0351,0.1289,-0.0127,0.0542
animal,-0.0093,0.0144,0.0249,0.0068
animals,0.0165,-0.0063,0.0008,0.0355
anisotropy,-0.1046,-0.1297,0.1754,-0.1222
anisotropy fa,-0.0865,-0.1078,0.1765,-0.1061
anterior,-0.1186,-0.0057,-0.0393,0.0004
anterior cingulate,-0.1574,-0.0094,-0.0096,-0.0219
anterior hippocampus,0.0411,0.0252,0.0397,0.0401
anterior insula,-0.039,-0.0521,-0.0922,-0.0399
anterior insular,-0.0734,-0.0546,-0.0546,-0.0407
anterior intraparietal,-0.0244,-0.0387,0.0144,0.0616
anterior medial,0.0003,0.0373,0.0189,-0.0148
anterior posterior,-0.0025,-0.0474,-0.0016,0.0098
anterior prefrontal,-0.0189,0.1709,-0.0387,0.0109
anterior superior,0.0261,-0.1267,-0.0239,-0.014
anterior temporal,0.1163,0.0236,-0.0404,-0.0157
anti,-0.0033,-0.0317,0.0077,-0.0218
anticipation,-0.0301,0.0316,0.021,0.0407
anticipatory,-0.0013,0.0098,0.0305,0.0254
anxiety,-0.029,-0.0469,0.0426,-0.075
anxiety disorders,-0.0089,-0.0586,0.0672,-0.0567
apart,0.0246,-0.0461,0.0147,-0.0349
aphasia,0.0231,0.0149,0.0037,0.0283
apparent,0.0071,-0.0337,-0.0061,-0.0217
appear,0.0279,0.0225,-0.0051,-0.004
appeared,-0.0178,0.0295,-0.0142,-0.0164
appears,-0.0338,-0.0125,-0.0108,0.028
application,-0.1008,-0.0658,0.0079,-0.0733
applied,-0.137,-0.2104,-0.0101,-0.1243
apply,-0.0177,0.0074,0.0298,0.0302
applying,0.012,-0.0226,0.0244,0.0173
appraisal,-0.0054,0.0005,0.0143,-0.0005
approach,-0.0746,-0.1491,0.0666,-0.0752
approaches,-0.0559,-0.1085,0.0394,-0.0882
appropriate,0.0028,0.0557,-0.053,0.0254
approximately,-0.0424,-0.0663,0.049,-0.0684
architecture,-0.0157,0.0814,-0.0188,-0.0014
argue,0.0379,-0.0521,-0.0121,0.052
arise,-0.0096,-0.0137,-0.0176,-0.0116
arithmetic,0.0149,0.2533,-0.0195,0.0267
arm,-0.0916,-0.3228,0.0826,-0.0572
arousal,0.009,-0.0522,0.0176,0.0169
arterial,-0.0476,-0.1412,0.0908,-0.0667
arterial spin,-0.0575,-0.1526,0.0904,-0.0644
articulatory,-0.0003,-0.0321,0.0116,0.0454
asd,0.0774,0.0026,-0.0211,0.0097
asked,0.0977,0.1571,-0.0385,0.1099
aspect,-0.0081,0.0459,-0.037,-0.0013
aspects,0.0355,0.0121,-0.0488,0.0234
assess,-0.0834,-0.0944,0.0399,-0.0571
assessed,-0.0584,-0.1095,0.0591,-0.1092
assessed using,-0.0676,-0.0774,0.0187,-0.0721
assessing,-0.018,0.0564,-0.0156,0.0039
assessment,-0.0437,0.0223,0.0267,-0.0558
assessments,-0.0357,-0.0427,0.0755,-0.0266
assigned,-0.0052,0.0067,0.0028,-0.0321
association,-0.0753,-0.0478,0.0432,-0.033
associations,-0.0335,0.1154,0.0266,-0.0125
associative,-0.0077,0.0667,0.028,0.0392
assume,0.0088,-0.0284,0.0121,-0.0091
assumed,0.0124,0.0038,0.0018,0.0548
assumption,0.0299,0.034,-0.0152,0.0115
asymmetry,-0.0222,-0.0804,0.0088,-0.0475
atrophy,-0.0075,0.0046,0.0549,-0.1032
attempt,-0.0121,0.0364,0.0105,0.0249
attempted,0.0054,-0.0231,-0.0314,-0.0559
attend,0.0749,0.027,-0.0082,0.0259
attended,0.0411,-0.011,-0.0043,0.0568
attending,0.0252,0.0287,0.0276,0.0744
attention,0.0185,0.0138,0.0058,0.0214
attention deficit,-0.0568,-0.0257,0.0617,-0.0636
attention network,0.0095,0.0363,-0.0237,-0.0012
attention task,0.0094,0.0241,-0.0179,0.0225
attentional,0.0406,0.121,-0.044,0.0149
attentional control,0.0228,0.0834,-0.0369,-0.0411
attenuated,0.013,0.0792,0.0061,0.0092
attenuation,-0.0192,-0.0482,0.0187,0.0471
attributed,0.0102,0.0044,-0.0207,0.0125
attributes,-0.0297,-0.0951,0.0253,0.0094
attribution,0.0787,0.0359,-0.0583,0.0078
atypical,0.0179,0.0122,0.0047,0.0258
audiovisual,0.0305,-0.1861,0.0126,0.0318
auditory,-0.0489,-0.2582,0.0019,-0.0229
auditory cortex,-0.0957,-0.2893,0.0421,-0.0693
auditory stimuli,-0.0153,-0.1193,-0.0231,-0.0082
auditory visual,0.0448,-0.1119,-0.0155,0.0377
autism,0.0919,-0.034,0.0006,-0.0035
autism spectrum,0.0708,-0.0135,-0.0067,0.0085
autobiographical,0.0761,0.1109,-0.0042,0.0484
autobiographical memory,0.106,0.1282,-0.0075,0.0689
automated,-0.0755,-0.1207,0.0093,-0.0463
automatic,0.0073,0.002,0.0,0.0316
automatically,0.051,-0.0271,0.0128,0.0452
autonomic,-0.0549,-0.1035,0.0332,-0.046
available,-0.001,-0.0293,0.0416,-0.0238
average,-0.0926,-0.096,0.033,-0.1366
aversive,0.0108,0.0256,-0.0225,-0.0012
avoid,0.0113,-0.0531,0.0296,0.0119
avoidance,0.0113,0.0267,0.0511,0.0318
awareness,-0.0597,-0.0951,0.0229,-0.0648
away,0.0062,-0.0537,0.0178,-0.035
axis,0.035,0.0261,-0.008,0.0105
ba,0.0336,0.1046,-0.0504,0.0794
ba 44,0.0823,0.102,-0.0102,0.1438
background,-0.0929,0.0234,0.0513,-0.1164
balance,-0.0239,-0.0743,0.0144,-0.0272
band,-0.0546,-0.1724,0.0879,-0.084
bands,-0.068,-0.1292,0.0447,-0.0679
basal,-0.0296,-0.0646,0.0532,0.0074
basal ganglia,-0.0373,-0.0659,0.0462,0.009
baseline,-0.0734,-0.0712,0.068,-0.0643
bases,0.0141,0.0404,-0.0294,0.0414
basic,-0.0321,-0.1274,0.0014,0.0181
basis,0.0446,0.0896,0.0097,0.0316
bayesian,0.0085,0.0276,-0.0131,-0.0591
beginning,-0.0326,-0.0144,0.0205,-0.0179
behavior,-0.0546,0.0804,-0.0234,-0.0176
behavioral,0.0402,0.1877,-0.0447,-0.0084
behavioral evidence,0.0642,0.0213,-0.0306,0.0285
behavioral level,0.0411,0.1055,-0.0024,0.0075
behavioral measures,-0.0283,0.0114,0.0247,-0.0435
behavioral performance,0.0391,0.1062,-0.0033,0.0495
behavioral responses,-0.0346,-0.008,0.0303,0.0189
behaviorally,0.0302,0.0854,-0.0405,0.0053
behaviors,0.0246,0.1162,-0.0221,0.0043
behaviour,0.0383,0.0729,-0.0388,-0.0082
behavioural,0.0001,0.0109,0.0141,0.0129
belief,0.0727,0.0498,-0.0274,-0.0115
beliefs,0.113,0.0674,-0.0634,0.0049
believed,-0.0405,-0.0058,0.021,-0.013
beneficial,-0.0569,-0.0146,-0.0105,-0.027
benefit,0.0461,0.0109,0.0239,0.0203
benefits,-0.0349,-0.061,0.0262,-0.034
best,-0.0371,0.0135,-0.008,-0.0304
beta,-0.0728,-0.2007,0.0535,-0.0954
better,0.0162,0.0965,-0.0246,0.0417
better understanding,-0.0166,0.0329,0.0071,-0.0155
bias,0.0059,0.003,0.0205,-0.0258
biased,-0.0203,0.0333,-0.0289,-0.0231
biases,0.0072,0.0596,-0.0033,0.0018
bilaterally,-0.0152,-0.0265,-0.0174,-0.0062
bilinguals,0.0876,0.1213,-0.0279,0.1253
binding,0.07,0.1653,-0.0061,0.046
biological,0.0827,-0.0348,-0.0033,0.0048
biomarker,-0.0444,-0.054,0.0186,-0.1093
biomarkers,-0.0358,-0.0527,0.035,-0.0753
bipolar,-0.0407,0.0328,0.0111,-0.0879
bipolar disorder,-0.045,0.0426,0.0082,-0.071
blind,-0.0296,-0.1083,0.0439,-0.0344
block,-0.0262,-0.074,-0.0034,0.0184
block design,-0.0096,-0.0129,-0.0141,0.0063
blocked,-0.0001,0.0095,0.0368,0.0164
blocks,0.0218,0.02,-0.0089,-0.0209
blood,-0.1238,-0.1793,0.0929,-0.1462
blood flow,-0.1447,-0.1868,0.1217,-0.1237
blood oxygen,-0.0842,-0.128,0.0345,-0.1017
blood oxygenation,-0.0199,-0.0511,0.0184,-0.0635
bodily,0.0156,-0.1113,0.0326,-0.0258
body,-0.0242,-0.1727,0.0464,-0.0298
bold,-0.0795,-0.1994,0.012,-0.1048
bold response,-0.051,-0.1393,0.0155,-0.0871
bold responses,0.0205,-0.0855,0.007,0.0345
bold signal,-0.0527,-0.1434,-0.0081,-0.0683
bold signals,-0.0691,-0.0168,-0.0302,-0.082
brains,-0.0384,-0.0339,0.0496,-0.0534
brainstem,-0.0009,-0.0363,0.0855,-0.0568
brief,-0.0213,-0.0445,0.0118,-0.0966
broad,0.018,0.1207,-0.0274,0.0379
broader,-0.0294,0.003,-0.0159,-0.0225
broca,0.0914,0.1104,-0.0475,0.0818
brodmann,-0.0687,-0.0258,0.0076,0.0084
brodmann ba,-0.0218,-0.0176,0.0193,0.0355
button,-0.0293,-0.0228,-0.0322,0.0387
calculated,-0.1156,-0.1509,0.0275,-0.149
calculation,-0.0063,0.1902,-0.033,0.0196
called,0.0075,-0.0535,0.014,0.0154
callosum,-0.0924,-0.1488,0.1573,-0.1145
candidate,-0.0118,-0.0362,0.0112,0.0092
canonical,0.0429,0.0596,-0.0174,0.0353
capacity,0.065,0.0997,-0.064,0.022
capture,-0.0304,-0.0569,-0.0078,-0.0317
carried,-0.006,-0.0085,-0.0145,0.0343
carriers,-0.0357,-0.0052,0.0299,-0.1221
case,0.0119,-0.0617,0.0112,0.0338
cases,-0.013,-0.0439,0.0318,-0.0387
categorical,0.0377,0.0494,-0.0146,0.0063
categories,0.1116,0.058,-0.0003,0.0945
categorization,0.0101,0.0131,0.0009,0.0408
category,0.0949,0.0463,-0.0358,0.1009
caudal,-0.0786,-0.0911,0.0314,-0.02
caudate,-0.0721,0.0804,0.0381,0.0158
caudate nucleus,-0.0377,0.1069,-0.0034,0.0634
causal,0.0097,0.0299,-0.0107,-0.0013
causal modeling,0.036,0.0686,-0.0281,0.0177
causality,-0.0352,0.0178,-0.0209,-0.0135
cause,0.0007,-0.0131,-0.012,-0.0709
caused,0.0054,0.0304,-0.0149,-0.0227
causes,0.0004,-0.0321,-0.0086,-0.0527
center,-0.0454,-0.0615,0.0014,-0.0605
centered,-0.0369,-0.0298,-0.0187,-0.0339
central,-0.072,-0.1552,0.0035,-0.0539
central role,0.0153,-0.0127,-0.0022,-0.0041
cerebellar,-0.0173,0.0794,-0.0586,0.0082
cerebellum,-0.0533,-0.0264,-0.0338,-0.0371
cerebral,-0.1173,-0.2138,0.0816,-0.1208
cerebral blood,-0.1403,-0.184,0.1202,-0.1328
cerebral cortex,-0.0801,-0.096,0.0667,-0.0749
certain,-0.0124,-0.0054,-0.0284,-0.0085
challenge,0.0191,0.0423,0.0165,-0.0183
challenges,-0.0026,0.0071,0.0144,-0.0583
challenging,0.0016,-0.0035,0.0064,0.0112
change,-0.0649,-0.1264,0.0823,-0.0949
changed,0.0033,0.0016,-0.0028,0.0038
changing,0.0444,0.1165,-0.0316,0.0265
character,0.1286,0.1473,-0.0515,0.1076
characteristic,-0.0102,0.0023,-0.0072,-0.0281
characteristics,-0.098,-0.09,0.0673,-0.0934
characterization,-0.0234,-0.0505,0.0114,-0.0622
characterize,0.0142,-0.0249,-0.0097,0.0167
characterized,-0.0634,-0.0959,0.0394,-0.0801
characterizing,-0.0291,0.0223,0.0006,0.026
characters,0.1167,0.1571,-0.0439,0.1306
childhood,-0.0405,-0.0923,0.0496,-0.063
children,-0.0075,0.0283,0.0062,-0.0493
children adolescents,0.0083,0.0729,-0.0231,-0.0112
chinese,0.0741,0.1618,-0.0732,0.0989
choice,-0.0739,0.1293,-0.0051,-0.0229
choices,-0.0749,0.1206,-0.007,-0.0101
choose,-0.0431,0.1032,-0.0161,-0.0084
chosen,-0.01,-0.0257,0.0279,-0.0276
chronic,-0.1183,-0.1544,0.0931,-0.1315
chronic pain,-0.0925,-0.0748,0.0315,-0.0909
cingulate,-0.1527,-0.0759,0.0352,-0.0632
cingulate cortex,-0.1419,-0.0606,0.0332,-0.0571
cingulate cortices,-0.0665,-0.0192,0.0205,-0.0614
cingulate gyrus,-0.0783,-0.0694,0.0494,-0.0114
circuit,-0.0602,-0.0737,0.0231,-0.0017
circuitry,-0.0437,0.0272,0.0329,-0.0137
circuits,-0.0324,-0.0255,0.0037,-0.0122
clarify,-0.0254,-0.039,0.0025,0.011
class,0.0477,0.0209,-0.0225,0.0753
classic,0.0721,0.075,-0.0626,0.0355
classical,0.025,0.0753,-0.0753,-0.0175
classification,-0.0103,0.0007,0.0323,-0.0333
classified,0.0172,0.1136,0.0097,0.0015
clear,-0.0208,-0.0757,-0.018,0.0163
clearly,0.055,0.0606,-0.0343,0.0636
clinical,-0.1522,-0.1855,0.1103,-0.1742
clinically,-0.0117,-0.0318,0.029,-0.0653
clips,0.1304,0.0134,-0.0538,0.091
close,0.0086,-0.0293,-0.0116,0.0099
closed,-0.0298,-0.0906,-0.0123,-0.0147
closely,0.0187,0.0686,-0.0354,0.0067
cluster,-0.0879,-0.1807,0.0798,-0.0528
clustering,0.0016,-0.0112,0.0006,-0.0276
clusters,-0.0987,-0.1468,0.0746,-0.0994
code,0.0495,0.048,-0.0229,0.0692
coding,-0.0456,-0.079,0.0213,-0.0018
cognition,0.0909,0.1643,-0.0728,0.0032
cognitive,0.0066,0.2983,-0.0999,-0.05
cognitive control,-0.0307,0.2144,-0.0656,-0.0239
cognitive deficits,-0.0273,0.0148,-0.0234,-0.0487
cognitive emotional,-0.0045,-0.011,-0.0117,-0.0229
cognitive function,-0.0485,0.0932,-0.0121,-0.0474
cognitive functions,-0.009,0.0948,-0.0382,-0.0165
cognitive impairment,-0.0049,0.0566,0.0391,-0.0508
cognitive neuroscience,0.0182,-0.0223,-0.0387,-0.0052
cognitive performance,-0.0526,0.0667,0.0027,-0.0812
cognitive processes,0.0105,0.1745,-0.0671,0.0285
cognitive task,-0.0239,0.052,0.0081,-0.001
cognitive tasks,-0.031,0.064,-0.0165,-0.035
cognitively,-0.0003,0.0137,0.0215,-0.0052
coherence,-0.0071,-0.05,0.0443,0.003
coherent,0.073,0.06,-0.0286,0.0888
cohort,-0.0307,-0.0696,0.0522,-0.0797
collected,-0.0437,-0.0553,0.0048,-0.0116
collectively,0.0117,0.0648,-0.0042,0.0649
color,0.0752,0.1888,-0.0547,0.1063
combination,-0.0908,-0.1277,0.0326,-0.0859
combinations,0.0125,-0.058,0.0463,0.0444
combined,-0.0015,-0.0006,-0.0187,0.0022
combining,0.0127,-0.0624,0.0161,-0.0019
common,0.0126,0.1427,-0.1038,0.076
commonly,0.0433,0.0383,0.0065,0.0137
communication,0.1004,-0.0283,-0.0346,0.0186
community,-0.0393,-0.0019,0.0339,-0.0637
comparable,-0.0105,-0.0844,-0.0036,0.0011
compare,0.0263,-0.0093,0.0099,0.0028
comparing,-0.04,-0.0555,-0.0148,-0.0559
comparisons,-0.038,-0.0399,0.0392,-0.0531
compatible,-0.1023,-0.2024,0.0254,-0.0251
compensate,-0.0238,-0.091,-0.0095,-0.0472
compensation,-0.0397,-0.0949,0.008,0.0251
compensatory,0.0132,0.0489,-0.0268,-0.0062
competing,0.0335,0.1222,-0.0854,0.0761
competition,0.0363,0.0951,-0.0577,0.0397
complementary,0.0089,-0.0519,0.0104,-0.0246
complete,-0.0635,-0.1339,0.0019,-0.0716
completed,0.012,0.055,0.0014,-0.069
completely,-0.0029,-0.0283,0.0145,-0.0029
complex,0.0109,-0.0902,0.0183,0.0618
complexity,0.0517,0.0017,-0.0236,0.0829
component,-0.0356,0.0392,-0.0517,-0.014
component ica,-0.0397,-0.0111,-0.0645,-0.0346
components,0.0236,0.061,-0.0183,0.0567
composed,0.0311,-0.0265,0.0535,0.021
comprehension,0.1743,0.086,-0.0706,0.1198
comprehensive,-0.0558,-0.0255,-0.0207,-0.0229
comprised,0.0664,0.0811,-0.0118,0.0838
compromised,-0.0032,0.0728,0.0096,-0.0714
compulsive,-0.0617,0.0656,0.012,-0.0605
compulsive disorder,-0.0618,0.0583,0.0165,-0.0562
computation,-0.0049,0.0985,-0.0022,0.0057
computational,-0.0508,-0.0233,0.0237,-0.0276
computed,-0.068,-0.044,0.0389,-0.0949
concentration,-0.0613,-0.0258,0.0475,-0.0727
concept,-0.0129,0.0382,-0.0288,0.0078
concepts,0.0736,0.1841,-0.0429,0.1011
conceptual,0.099,0.1455,-0.0526,0.0881
concerning,0.0039,0.005,-0.0211,-0.0459
conclude,0.0056,-0.0197,-0.0084,0.0327
conclusion,-0.0869,-0.027,0.0269,-0.0775
concomitant,-0.0206,-0.0833,-0.0322,-0.0091
concrete,0.0823,0.1556,-0.0411,0.1084
concurrent,-0.0194,-0.0022,0.0084,-0.0371
concurrently,0.0321,-0.0303,0.0644,0.0289
condition,0.0507,0.1027,-0.0366,0.0476
conditioned,-0.0324,0.0431,-0.0056,-0.054
conditioning,-0.0307,0.0339,-0.0147,-0.0578
conditions,0.0088,-0.0557,-0.0245,0.0651
conductance,-0.0111,-0.0504,-0.016,-0.0038
conducted,-0.0417,0.0453,-0.0419,-0.0896
confidence,0.0101,0.0104,0.0397,0.0431
confirm,0.0164,-0.0549,0.0216,0.0023
confirmed,0.0108,0.0202,-0.0188,0.0013
conflict,-0.0518,0.1306,-0.0678,0.0156
conflicting,0.0629,0.1833,-0.0675,0.0929
confounding,-0.025,0.0118,-0.006,-0.0097
congruency,0.0355,0.0366,-0.0626,0.0468
congruent,0.021,-0.0109,-0.0297,-0.014
congruent incongruent,0.0379,-0.0286,-0.0246,-0.0055
conjunction,0.0825,0.0557,-0.0383,0.0529
connected,0.0129,0.0294,-0.0163,-0.0076
